"talk_id","title","speaker_1","first occupation","second occupation","recorded_date","published_date","event","native_lang","url.x","num_speakers","num_lang","comments","duration_ted","languages","num_speaker","view_ted","view_yt","categories","duration_yt","dislike_count","like_count","average_rating"
1949,"My wish: To launch a new era of openness in business","Charmian Gooch","anti-corruption activist",NA,2014-03-18,2014-03-20,"TED2014","en","https://www.ted.com/talks/charmian_gooch_my_wish_to_launch_a_new_era_of_openness_in_business/",1,30,215,971,30,1,760225,41546,"Nonprofits & Activism",971,44,623,4.73613214493
1952,"The NSA responds to Edward Snowden's TED Talk","Richard Ledgett","deputy director","nsa",2014-03-20,2014-03-21,"TED2014","en","https://www.ted.com/talks/richard_ledgett_the_nsa_responds_to_edward_snowden_s_ted_talk/",1,23,440,2010,22,1,1191342,217301,"News & Politics",2015,2917,1116,2.10686826706
1954,"My daughter, Malala","Ziauddin Yousafzai","education activist",NA,2014-03-17,2014-03-24,"TED2014","en","https://www.ted.com/talks/ziauddin_yousafzai_my_daughter_malala/",1,42,182,996,42,1,2124521,506213,"Nonprofits & Activism",996,200,9460,4.91718435287
1956,"To create for the ages, let's combine art and engineering","Bran Ferren","technology designer",NA,2014-03-18,2014-03-25,"TED2014","en","https://www.ted.com/talks/bran_ferren_to_create_for_the_ages_let_s_combine_art_and_engineering/",1,27,82,1212,27,1,1028312,84919,"Science & Technology",1212,54,1186,4.82580661774
1955,"Zombie roaches and other parasite tales","Ed Yong","science writer",NA,2014-03-20,2014-03-26,"TED2014","en","https://www.ted.com/talks/ed_yong_zombie_roaches_and_other_parasite_tales/",1,34,173,794,34,1,1624605,213076,"Science & Technology",795,35,5683,4.97551584244
1959,"The new bionics that let us run, climb and dance","Hugh Herr","bionics designer","ballroom dancer",2014-03-12,2014-03-28,"TED2014","en","https://www.ted.com/talks/hugh_herr_the_new_bionics_that_let_us_run_climb_and_dance/",2,27,316,1140,27,1,7520736,5140504,"Science & Technology",1140,1198,80276,4.94118356705
1961,"Why I must come out","Geena Rocero","model and activist",NA,2014-03-19,2014-03-31,"TED2014","en","https://www.ted.com/talks/geena_rocero_why_i_must_come_out/",1,32,170,599,32,1,3133189,847147,"Nonprofits & Activism",599,1124,7106,4.45370578766
1963,"The discovery that could rewrite physics","Allan Adams","theoretical physicist",NA,2014-03-18,2014-04-01,"TED2014","en","https://www.ted.com/talks/allan_adams_the_discovery_that_could_rewrite_physics/",1,33,409,282,31,1,1736329,162047,"Science & Technology",283,198,2166,4.66497468948
1964,"Why giving away our wealth has been the most satisfying thing we've done","Melinda Gates","philanthropist","philanthropist",2014-03-18,2014-04-02,"TED2014","en","https://www.ted.com/talks/bill_and_melinda_gates_why_giving_away_our_wealth_has_been_the_most_satisfying_thing_we_ve_done/",2,28,283,1500,28,2,3130752,1269594,"Nonprofits & Activism",1501,615,11327,4.79400444031
1957,"Your social media ""likes"" expose more than you think","Jennifer Golbeck","computer scientist",NA,2013-10-01,2014-04-03,"TEDxMidAtlantic 2013","en","https://www.ted.com/talks/jennifer_golbeck_your_social_media_likes_expose_more_than_you_think/",1,31,138,595,31,1,2012614,263530,"Science & Technology",596,143,2905,4.81233596802
1960,"The unstoppable walk to political reform","Lawrence Lessig","legal activist",NA,2014-03-20,2014-04-04,"TED2014","en","https://www.ted.com/talks/lawrence_lessig_the_unstoppable_walk_to_political_reform/",1,27,228,824,27,1,1095806,93500,"News & Politics",824,74,1719,4.83491373062
1966,"How public spaces make cities work","Amanda Burden","urban planner",NA,2014-03-20,2014-04-07,"TED2014","en","https://www.ted.com/talks/amanda_burden_how_public_spaces_make_cities_work/",1,28,78,1108,26,1,1061964,177249,"People & Blogs",1108,63,2911,4.91526556015
1965,"Teach teachers how to create magic","Christopher Emdin","education pioneer",NA,2013-10-08,2014-04-08,"TED@NYC","en","https://www.ted.com/talks/christopher_emdin_teach_teachers_how_to_create_magic/",1,33,206,414,32,1,2004811,217507,"Education",414,169,3124,4.79471588135
1969,"Hidden miracles of the natural world","Louie Schwartzberg","filmmaker",NA,2014-03-19,2014-04-09,"TED2014","en","https://www.ted.com/talks/louie_schwartzberg_hidden_miracles_of_the_natural_world/",1,40,208,444,38,1,7015800,2410110,"Film & Animation",444,765,15464,4.81144857407
